Filter1,Filter2,Country,State
Asia,,Abkhazia,
Asia,,Afghanistan,
Europe,,Albania,
Africa,,Algeria,
Europe,,Andorra,
Africa,,Angola,
North America,,Anguilla,
Oceania,,Antarctica,
North America,,Antigua and Barbuda,
Europe,,Arctic,
South America,,Argentina,
Asia,,Armenia,
North America,,Aruba,
Asia,,Assam,
Oceania,,Australia,
Europe,,Austria,
Asia,,Azerbaijan,
Asia,,Bahrain,
Asia,,Bangladesh,Dhaka
Asia,,Bangladesh,Noakhali
Asia,,Bangladesh,Chittagong
Asia,,Bangladesh,Jessore
Asia,,Bangladesh,Tangail
Asia,,Bangladesh,Satkhira
Asia,,Bangladesh,Gazipur
Asia,,Bangladesh,Khulna
Asia,,Bangladesh,Feni
Asia,,Bangladesh,Rajshahi
Asia,,Bangladesh,Kushtia
Asia,,Bangladesh,Gaibandha
Asia,,Bangladesh,Jaipurhat
Asia,,Bangladesh,Jamalpur
Asia,,Bangladesh,Barisal
Asia,,Bangladesh,Gopalganj
Asia,,Bangladesh,Satkhira
Asia,,Bangladesh,Netrokona
Asia,,Bangladesh,Pirojpur
Asia,,Bangladesh,Barguna
Asia,,Bangladesh,Jhalokati
Asia,,Bangladesh,Bhola
Asia,,Bangladesh,Sunamganj
Asia,,Bangladesh,Habiganj
Asia,,Bangladesh,Moulvi Bazar
Asia,,Bangladesh,Sherpur
Asia,,Bangladesh,Mymensingh
Asia,,Bangladesh,Rangpur
Asia,,Bangladesh,Sylhet
Asia,,Bangladesh,Brahmanbaria
Asia,,Bangladesh,Cox's Bazar
Asia,,Bangladesh,Narayanganj Sadar Upazila
Asia,,Bangladesh,Thakurgaon
Asia,,Bangladesh,Nilphamari
Asia,,Bangladesh,Meherpur
Asia,,Bangladesh,Lakshmipur
Asia,,Bangladesh,Narsingdi
Asia,,Bangladesh,Kishoreganj
Asia,,Bangladesh,Chuadanga
Asia,,Bangladesh,Magura
Asia,,Bangladesh,Bogra
Asia,,Bangladesh,Pabna
Asia,,Bangladesh,Chapainawabganj
Asia,,Bangladesh,Natore
Asia,,Bangladesh,Savar Upazila
Asia,,Bangladesh,Comilla
Asia,,Bangladesh,Faridpur
North America,,Barbados,
Europe,,Belarus,
Europe,,Belgium,
North America,,Belize,
Africa,,Benin,
North America,,Bermuda,
Asia,,Bhutan,
South America,,Bolivia,
Europe,,Bosnia and Herzegovina,
Africa,,Botswana,
South America,,Brazil,
North America,,British Virgin Islands,
Asia,,Brunei,
Europe,,Bulgaria,
Africa,,Burkina Faso,
Africa,,Burundi,
Asia,,Cambodia,
Africa,,Cameroon,
North America,,Canada,AB-Alberta
North America,,Canada,BC-British Columbia
North America,,Canada,MB-Manitoba
North America,,Canada,NB-New Brunswick
North America,,Canada,NL-Newfoundland and Labrador
North America,,Canada,NS-Nova Scotia
North America,,Canada,NT-Northwest Territories
North America,,Canada,NU-Nunavut
North America,,Canada,ON-Ontario
North America,,Canada,PE-Prince Edward Island
North America,,Canada,QC-Quebec
North America,,Canada,SK-Saskatchewan
North America,,Canada,YT-Yukon
Africa,,Cape Verde,
North America,,Caribbean,
North America,,Cayman Islands,
Africa,,Central African Republic,
Africa,,Chad,
South America,,Chile,
Asia,,China,
Oceania,,CNMI,
South America,,Colombia,
Africa,,Comoros,
Oceania,,Cook Islands,
North America,,Costa Rica,
Europe,,Croatia,
North America,,Cuba,
North America,,Curaçao,
Europe,,Cyprus,
Europe,,Czechia,
Africa,,Côte d'Ivoire,
Africa,,Democratic Republic of the Congo,
Europe,,Denmark,
Africa,,Djibouti,
North America,,Dominica,
North America,,Dominican Republic,
South America,,Ecuador,
Africa,,Egypt,
North America,,El Salvador,
Africa,,Equatorial Guinea,
Africa,,Eritrea,
Europe,,Estonia,
Africa,,Eswatini,
Africa,,Ethiopia,
South America,,Falkland Islands,
Europe,,Famagusta,
Europe,,Faroe Islands,
Oceania,,Fiji,
Europe,,Finland,
Europe,,France,
South America,,French Guiana,
Africa,,Gabon,
Europe,,Gazima?usa,
Asia,,Georgia,
Europe,,Germany,
Africa,,Ghana,
Europe,,Gibraltar,
Asia,,Gilgit,
Europe,,Greece,
North America,,Greenland,
North America,,Grenada,
North America,,Guadeloupe,
North America,,Guam,
North America,,Guatemala,
Europe,,Guernsey,
Africa,,Guinea,
Africa,,Guinea-Bissau,
South America,,Guyana,
North America,,Haiti,
North America,,Honduras,
Asia,,Hong Kong,
Europe,,Hungary,
Europe,,Iceland,
Asia,,India,Tamil Nadu
Asia,,India,Bihar
Asia,,India,Mumbai
Asia,,India,West Bengal
Asia,,India,Maharashtra
Asia,,India,Jharkhand
Asia,,India,Telangana
Asia,,India,Madhya Pradesh
Asia,,India,Karnataka
Asia,,India,Haryana
Asia,,India,Kerala
Asia,,India,Punjab
Asia,,India,Uttar Pradesh
Asia,,India,Uttarakhand
Asia,,India,Delhi
Asia,,India,Chhattisgarh
Asia,,India,Assam
Asia,,India,Nagaland
Asia,,India,Andhra Pradesh
Asia,,India,Gujarat
Asia,,India,Odisha
Asia,,India,Rajasthan
Asia,,India,Goa
Asia,,India,Jammu & Kashmir
Asia,,India,Himachal Pradesh
Asia,,India,Chandigarh
Asia,,India,Meghalaya
Oceania,,Indonesia,
Asia,,Iran,
Asia,,Iraq,
Europe,,Ireland,
Europe,,Isle of Man,
Asia,,Israel,
Europe,,Italy,
North America,,Jamaica,
Asia,,Jammu and Kashmir,
Asia,,Japan,
Europe,,Jersey,
Asia,,Jordan,
Asia,,Kazakhstan,
Africa,,Kenya,
Oceania,,Kiribati,
Europe,,Kosovo,
Asia,,Kuwait,
Europe,,Kyrenia,
Asia,,Kyrgyzstan,
Asia,,Laos,
Europe,,Latvia,
Asia,,Lebanon,
Africa,,Lesotho,
Africa,,Liberia,
Africa,,Libya,
Europe,,Liechtenstein,
Europe,,Lithuania,
Europe,,Luxembourg,
Europe,,Macedonia,
Africa,,Madagascar,
Africa,,Malawi,
Asia,,Malaysia,
Asia,,Maldives,
Africa,,Mali,
Europe,,Malta,
Oceania,,Marshall Islands,
North America,,Martinique,
Africa,,Mauritania,
Africa,,Mauritius,
Africa,,Mayotte,
North America,,Mexico,
Oceania,,Micronesia Federated States,
Europe,,Moldova,
Europe,,Monaco,
Asia,,Mongolia,
Europe,,Montenegro,
Africa,,Morocco,
Africa,,Mozambique,
Asia,,Myanmar,
Africa,,Namibia,
Oceania,,Nauru,
Asia,,Nepal,
Europe,,Netherlands,
Oceania,,New Caledonia,
Oceania,,New Zealand,
North America,,Nicaragua,
Africa,,Niger,
Africa,,Nigeria,
Oceania,,Norfolk Island,
Asia,,North Korea,
Europe,,North Macedonia,
Europe,,Norway,
Asia,,Oman,
Asia,,Pakistan,
Oceania,,Palau,
Asia,,Palestine,
North America,,Panama,
Oceania,,Papua New Guinea,
South America,,Paraguay,
South America,,Peru,
Asia,,Philippines,
Europe,,Poland,
Europe,,Portugal,
North America,,Puerto Rico,
Asia,,Qatar,
Africa,,Republic of the Congo,
Europe,,Romania,
Europe,,Russia,
Africa,,Rwanda,
Oceania,,Samoa,
Europe,,San Marino,
Africa,,Sao Tome and Principe,
Asia,,Saudi Arabia,
Africa,,Senegal,
Europe,,Serbia,
Africa,,Seychelles,
Africa,,Sierra Leone,
Asia,,Singapore,
Europe,,Slovakia,
Europe,,Slovenia,
Oceania,,Solomon Islands,
Africa,,Somalia,
Africa,,South Africa,
Asia,,South Korea,
Africa,,South Sudan,
Europe,,Spain,
Asia,,Sri Lanka,
North America,,St Kitts & Nevis,
North America,,St Lucia,
North America,,St Pierre & Miquelon,
North America,,St Vincent and the Grenadines,
Africa,,Sudan,
South America,,Suriname,
Europe,,Svalbard and Jan Mayen,
Europe,,Sweden,
Europe,,Switzerland,
Asia,,Syria,
Asia,,Taiwan,
Asia,,Tajikistan,
Africa,,Tanzania,
Asia,,Thailand,
North America,,The Bahamas,
Africa,,The Gambia,
Asia,,Timor-Leste (East Timor),
Africa,,Togo,
Oceania,,Tokelau,
Oceania,,Tonga,
North America,,Trinidad and Tobago,
Africa,,Tunisia,
Europe,,Turkey,
Asia,,Turkmenistan,
North America,,Turks and Caicos Islands,
Oceania,,Tuvalu,
North America,,U.S. Virgin Islands,
Africa,,Uganda,
Europe,,UK,
Europe,,Ukraine,
Asia,,United Arab Emirates,
,,uRéunion,
South America,,Uruguay,
North America,,USA,AL-Alabama
North America,,USA,AK-Alaska
North America,,USA,AZ-Arizona
North America,,USA,AR-Arkansas
North America,,USA,CA-California
North America,,USA,CO-Colorado
North America,,USA,CT-Connecticut
North America,,USA,DE-Delaware
North America,,USA,FL-Florida
North America,,USA,GA-Georgia
North America,,USA,HI-Hawaii
North America,,USA,ID-Idaho
North America,,USA,IL-Illinois
North America,,USA,IN-Indiana
North America,,USA,IA-Iowa
North America,,USA,KS-Kansas
North America,,USA,KY-Kentucky
North America,,USA,LA-Louisiana
North America,,USA,ME-Maine
North America,,USA,MD-Maryland
North America,,USA,MA-Massachusetts
North America,,USA,MI-Michigan
North America,,USA,MN-Minnesota
North America,,USA,MS-Mississippi
North America,,USA,MO-Missouri
North America,,USA,MT-Montana
North America,,USA,NE-Nebraska
North America,,USA,NV-Nevada
North America,,USA,NH-New Hampshire
North America,,USA,NJ-New Jersey
North America,,USA,NM-New Mexico
North America,,USA,NY-New York
North America,,USA,NC-North Carolina
North America,,USA,ND-North Dakota
North America,,USA,OH-Ohio
North America,,USA,OK-Oklahoma
North America,,USA,OR-Oregon
North America,,USA,PA-Pennsylvania
North America,,USA,RI-Rhode Island
North America,,USA,SC-South Carolina
North America,,USA,SD-South Dakota
North America,,USA,TN-Tennessee
North America,,USA,TX-Texas
North America,,USA,UT-Utah
North America,,USA,VT-Vermont
North America,,USA,VA-Virginia
North America,,USA,WA-Washington
North America,,USA,DC-District of Columbia
North America,,USA,WV-West Virginia
North America,,USA,WI-Wisconsin
North America,,USA,WY-Wyoming
Asia,,Uzbekistan,
Oceania,,Vanuatu,
Europe,,Vatican City,
South America,,Venezuela,
Asia,,Vietnam,
Africa,,Western Sahara,
Asia,,Yemen,
Africa,,Zambia,
Africa,,Zimbabwe,
Europe,,Åland Islands,
